part_id,name,category,stud_x,stud_y,height_units,active
3023,Plate 1 x 2,Plates,1,2,1,true
98138,Tile Round 1 x 1,Tiles Round and Curved,1,1,1,true
3024,Plate 1 x 1,Plates,1,1,1,true
54200,Slope 30° 1 x 1 x 2/3 (Cheese Slope),Bricks Sloped,1,1,2/3,true
3069b,Tile 1 x 2 with Groove,Tiles,1,2,1,true
3710,Plate 1 x 4,Plates,1,4,1,true
25269,Tile Round 1 x 1 Quarter,Tiles Round and Curved,1,1,1,true
3070b,Tile 1 x 1 with Groove,Tiles,1,1,1,true
3004,Brick 1 x 2,Bricks,1,2,1,true
3005,Brick 1 x 1,Bricks,1,1,1,true
3020,Plate 2 x 4,Plates,2,4,1,true
3022,Plate 2 x 2,Plates,2,2,1,true
15573,Plate Special 1 x 2 with 1 Stud with Groove and Inside Stud Holder (Jumper),Plates Special,1,2,1,true
3623,Plate 1 x 3,Plates,1,3,1,true
3021,Plate 2 x 3,Plates,2,3,1,true
3666,Plate 1 x 6,Plates,1,6,1,true
85984,Slope 30° 1 x 2 x 2/3,Bricks Sloped,1,2,2/3,true
85861,Plate Round 1 x 1 with Open Stud,Plates Round Curved and Dishes,1,1,1,true
3010,Brick 1 x 4,Bricks,1,4,1,true
2431,Tile 1 x 4 with Groove,Tiles,1,4,1,true
11477,Slope Curved 2 x 1 No Studs [1/2 Bow],Bricks Curved,2,1,1,true
2420,Plate 2 x 2 Corner,Plates,2,2,1,true
15068,Slope Curved 2 x 2 x 2/3,Bricks Curved,2,2,2/3,true
24866,"Plant, Flower, Plate Round 1 x 1 with 5 Petals",Plants & Trees,1,1,1,true
3001,Brick 2 x 4,Bricks,2,4,1,true
3003,Brick 2 x 2,Bricks,2,2,1,true
3062b,Brick Round 1 x 1 Open Stud,Bricks Round and Cones,1,1,1,true
3068b,Tile 2 x 2 with Groove,Tiles,2,2,1,true
87079,Tile 2 x 4 with Groove,Tiles,2,4,1,true
3795,Plate 2 x 6,Plates,2,6,1,true
6636,Tile 1 x 6 with Groove,Tiles,1,6,1,true
3622,Brick 1 x 3,Bricks,1,3,1,true
87580,Plate Special 2 x 2 with Groove and Center Stud (Jumper),Plates Special,2,2,1,true
63864,Tile 1 x 3,Tiles,1,3,1,true
3460,Plate 1 x 8,Plates,1,8,1,true
15712,Tile Special 1 x 1 with Clip with Rounded Edges,Tiles Special,1,1,1,true
87087,Brick Special 1 x 1 with Stud on 1 Side,Bricks Special,1,1,1,true
35480,Plate Special 1 x 2 Rounded with 2 Open Studs,Plates Round Curved and Dishes,1,2,1,true
99780,Bracket 1 x 2 - 1 x 2 Inverted,Plates Special,1,2,1,true
99207,Bracket 1 x 2 - 2 x 2 Inverted,Plates Special,1,2,1,true
3941,Brick Round 2 x 2 with Axle Hole,Bricks Round and Cones,2,2,1,true
4070,Brick Special 1 x 1 with Headlight,Bricks Special,1,1,1,true
22885,Brick Special 1 x 2 x 1 2/3 with 4 Studs on 1 Side,Bricks Special,1,2,1,true
3009,Brick 1 x 6,Bricks,1,6,1,true
11211,Brick Special 1 x 2 with 2 Studs on 1 Side,Bricks Special,1,2,1,true
32028,Plate Special 1 x 2 with Door Rail,Plates Special,1,2,1,true
4589,Cone 1 x 1 [No Top Groove],Bricks Round and Cones,1,1,1,true
6091,Brick Curved 1 x 2 x 1 1/3 with Curved Top,Bricks Curved,1,2,1,true
20482,Tile Round 1 x 1 with Hollow Bar,Tiles Special,1,1,1,true
33909,Plate Special 2 x 2 with Only 2 studs,Plates Special,2,2,1,true
4162,Tile 1 x 8 with Groove,Tiles,1,8,1,true
2357,Brick 2 x 2 Corner,Bricks,2,2,1,true
98283,Brick Special 1 x 2 with Masonry Brick Profile,Bricks Special,1,2,1,true
99206,Plate Special 2 x 2 x 2/3 with Two Studs On Side and Two Raised,Plates Special,2,2,2/3,true
3034,Plate 2 x 8,Plates,2,8,1,true
