part_num,name,part_cat_id,part_material
01648pr0001,"Animal Body Part, Goat Head 1 x 2 with Black Eyes and Nose Print",75,Plastic
01936,Technic Turntable 5 x 5 Top with 5 Pin Holes,26,Plastic
01937,Technic Turntable 5 x 5 Base with 4 Pin Holes,26,Plastic
0901,Baseplate 16 x 30 with Set 080 Yellow House Print,1,Plastic
0902,Baseplate 16 x 24 with Set 080 Small White House Print,1,Plastic
0903,Baseplate 16 x 24 with Set 080 Red House Print,1,Plastic
0904,Baseplate 16 x 24 with Set 080 Large White House Print,1,Plastic
1,Homemaker Bookcase/Cupboard 2 x 4 x 4,7,Plastic
10000,Duplo Animal Brick 2 x 2 Elephant Head,4,Plastic
10039,Pullback Motor 8 x 4 x 2/3,44,Plastic
100728,Flag 8 x 3 Wave with Blue Lion on Yellow Background Print,38,Plastic
100731,Flag 8 x 5 Wave with Yellow Lion Head on Blue Background Print,38,Plastic
1011A,Modulex Tile 1 x 1 with No Lining,66,Plastic
1011Apr0001,Modulex Tile 1 x 1 with Black 'A' Print with No Lining,66,Plastic
1011Apr0002,Modulex Tile 1 x 1 with Black 'B' Print with No Lining,66,Plastic
1011Apr0003,Modulex Tile 1 x 1 with Black 'C' Print with No Lining,66,Plastic
1011Apr0004,Modulex Tile 1 x 1 with Black 'D' Print with No Lining,66,Plastic
1011Apr0005,Modulex Tile 1 x 1 with Black 'E' Print with No Lining,66,Plastic
1011Apr0006,Modulex Tile 1 x 1 with Black 'F' Print with No Lining,66,Plastic
1011Apr0007,Modulex Tile 1 x 1 with Black 'G' Print with No Lining,66,Plastic
1011Apr0008,Modulex Tile 1 x 1 with Black 'H' Print with No Lining,66,Plastic
1011Apr0009,Modulex Tile 1 x 1 with Black 'I' Print with No Lining,66,Plastic
1011Apr0010,Modulex Tile 1 x 1 with Black 'J' Print with No Lining,66,Plastic
1011Apr0011,Modulex Tile 1 x 1 with Black 'K' Print with No Lining,66,Plastic
1011Apr0012,Modulex Tile 1 x 1 with Black 'L' Print with No Lining,66,Plastic
1011Apr0013,Modulex Tile 1 x 1 with Black 'M/W' Print with No Lining,66,Plastic
1011Apr0014,Modulex Tile 1 x 1 with Black 'N' Print with No Lining,66,Plastic
1011Apr0015,Modulex Tile 1 x 1 with Black 'O' Print with No Lining,66,Plastic
1011Apr0016,Modulex Tile 1 x 1 with Black 'P' Print with No Lining,66,Plastic
